model,model_image_url
Confetti 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Confetti_1.tgs
Cotton Candy 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Cotton_Candy_1.tgs
Icy Pink 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Icy_Pink_1.tgs
Purr Magic 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Purr_Magic_0.tgs
Candy Message 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Candy_Message_1.tgs
Stardust 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Stardust_1.tgs
Neon Sign 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Neon_Sign_0.tgs
Old Cartoon 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Old_Cartoon_1.tgs
Fresh Mint 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Fresh_Mint_1.tgs
Duck Attack 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Duck_Attack_0.tgs
Bubbly 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Bubbly_0.tgs
Citrus Candy 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Citrus_Candy_1.tgs
Jelly Bubble 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Jelly_Bubble_0.tgs
Princess 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Princess_1.tgs
Forever Young 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Forever_Young_1.tgs
Glittery Day 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Glittery_Day_1.tgs
Pop Tart 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Pop_Tart_1.tgs
You Rock! 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/You_Rock_0.tgs
Warm Wick 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Warm_Wick_1.tgs
Tender Flame 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Tender_Flame_1.tgs
Firecracker 0.6%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Firecracker_0.tgs
Jelly Desert 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Jelly_Desert_0.tgs
Donut Cream 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Donut_Cream_0.tgs
Magic Powers 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Magic_Powers_1.tgs
Payday 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Payday_0.tgs
Blue Caramel 1.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Blue_Caramel_1.tgs
