name,image_url
Fenrir 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fenrir_0_7.png
Moon Cross 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Moon_Cross_0_2.png
Chili 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Chili_0_7.png
Carambola 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Carambola_0_5.png
Boat 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Boat_0_2.png
Magic Hat 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Magic_Hat_0_7.png
Winged Helmet 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Winged_Helmet_0_4.png
Totem Bear 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Totem_Bear_0_2.png
Nemes 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Nemes_0_4.png
Pawn 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Pawn_0_5.png
Khinkali 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Khinkali_0_7.png
The Eye 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/The_Eye_0_7.png
Baby Bottle 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Baby_Bottle_0_5.png
Hard Hat 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hard_Hat_0_7.png
Flipper 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flipper_0_5.png
Maple 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Maple_0_7.png
Polar Bear 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Polar_Bear_0_7.png
Alkonost 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Alkonost_0_4.png
Flower Sun 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Flower_Sun_0_2.png
Maple Leaf 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Maple_Leaf_0_4.png
Cherry 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Cherry_0_4.png
Gem 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Gem_0_7.png
Deerstalker 0.4%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Deerstalker_0_4.png
Morgenstern 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Morgenstern_0_2.png
Grenade 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Grenade_0_7.png
Piranha 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Piranha_0_7.png
Mushroom 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mushroom_0_2.png
Two Katanas 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Two_Katanas_0_2.png
Egg 0.7%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Egg_0_7.png
